Close,SMA
10454.9502,10502.8333
10539.75,10523.8499
10500.90039,10498.5335
10545.5,10528.7168
10452.29981,10499.5667
10378.40039,10458.7334
10360.40039,10397.0335
10397.4502,10378.7503
10382.7002,10380.1836
10491.04981,10423.7334
10582.59961,10485.4499
10554.29981,10542.6497
10492.84961,10543.2497
10458.34961,10501.833
10358.84961,10436.6829
10249.25,10355.4831
10154.2002,10254.0999
10242.65039,10215.3669
10226.84961,10207.9001
10421.40039,10296.9668
10426.84961,10358.3665
10410.90039,10419.7168
10360.15039,10399.3001
10195.15039,10322.0671
10094.25,10216.5169
10124.34961,10137.9167
10155.25,10124.6165
10114.75,10131.4499
9998.049805,10089.3499
10130.65039,10081.1501
10184.15039,10104.2835
10113.7002,10142.8337
10211.79981,10169.8835
10245,10190.1667
10128.40039,10195.0667
10325.15039,10232.8503
10331.59961,10261.7168
10379.34961,10345.3665
10402.25,10371.0664
10417.15039,10399.5833
10458.65039,10426.0169
10480.59961,10452.1335
10528.34961,10489.1999
10548.7002,10519.2165
10526.2002,10534.4167
10565.29981,10546.7334
10564.04981,10551.8499
10584.7002,10571.3499
10614.34961,10587.6999
10570.54981,10589.8665
10617.79981,10600.8997
10692.29981,10626.8831
10739.34961,10683.1497
10718.04981,10716.5664
10679.65039,10712.3499
10618.25,10671.9834
10715.5,10671.1335
10717.79981,10683.8499
10741.7002,10725
10716.54981,10725.3499
10806.5,10754.9167
10806.59961,10776.5498
10801.84961,10804.9831
10741.09961,10783.1829
10682.7002,10741.8831
10596.40039,10673.4001
10516.7002,10598.6003
10536.7002,10549.9336
10430.34961,10494.5833
10513.84961,10493.6331
10605.15039,10516.4499
10688.65039,10602.5501
10633.29981,10642.3669
10614.34961,10645.4333
10736.15039,10661.2666
