Date,Close,Sma 3day,Sma 5day,Volume,Difference,BUY/SELL
5/2/2018,10666.54981,0,0,240100,0,BUY
6/2/2018,10498.25,0,0,266500,0,SELL
7/2/2018,10476.7002,10547.1667,0,250400,10547.1667,BUY
8/2/2018,10576.84961,10517.2666,0,232200,-17.3934,SELL
9/2/2018,10454.9502,10502.8333,10534.66,191600,-6.4667,SELL
12/2/2018,10539.75,10523.8499,10509.3,217400,14.0198,BUY
14/02/2018,10500.90039,10498.5335,10509.8301,229200,-25.0565,SELL
15/02/2018,10545.5,10528.7168,10523.59,210600,30.0367,BUY
16/02/2018,10452.29981,10499.5667,10498.6801,184300,16.1966,BUY
19/02/2018,10378.40039,10458.7334,10483.3701,187300,11.2332,BUY
20/02/2018,10360.40039,10397.0335,10447.5002,187700,-29.7767,SELL
21/02/2018,10397.4502,10378.7503,10426.8102,234100,-15.4999,SELL
22/02/2018,10382.7002,10380.1836,10394.2502,313600,-21.8166,SELL
23/02/2018,10491.04981,10423.7334,10402.0002,210600,-19.1066,SELL
26/02/2018,10582.59961,10485.4499,10442.84,171900,3.83,BUY
27/02/2018,10554.29981,10542.6497,10481.6199,187500,41.9499,BUY
28/02/2018,10492.84961,10543.2497,10500.6998,286000,27.42,BUY
1/3/2018,10458.34961,10501.833,10515.8297,176000,12.4434,BUY
5/3/2018,10358.84961,10436.6829,10489.3896,194000,13.9632,BUY
6/3/2018,10249.25,10355.4831,10422.7197,222900,12.7833,BUY
7/3/2018,10154.2002,10254.0999,10342.6998,249500,-38.5601,SELL
8/3/2018,10242.65039,10215.3669,10292.66,226400,-30.9931,SELL
9/3/2018,10226.84961,10207.9001,10246.36,186500,-50.97,SELL
12/3/2018,10421.40039,10296.9668,10258.8701,216400,2.5768,BUY
13/03/2018,10426.84961,10358.3665,10294.39,266700,12.6364,BUY
14/03/2018,10410.90039,10419.7168,10345.7301,181400,50.4867,BUY
15/03/2018,10360.15039,10399.3001,10369.2301,173900,36.4099,BUY
16/03/2018,10195.15039,10322.0671,10362.8902,328500,24.6069,BUY
19/03/2018,10094.25,10216.5169,10297.4602,210200,-20.4433,SELL
20/03/2018,10124.34961,10137.9167,10236.9602,203000,-47.9134,SELL
21/03/2018,10155.25,10124.6165,10185.8301,204800,-12.1335,SELL
22/03/2018,10114.75,10131.4499,10136.75,230500,34.12,BUY
23/03/2018,9998.049805,10089.3499,10097.3299,285700,-15.2601,SELL
26/03/2018,10130.65039,10081.1501,10104.61,262600,-35.42,SELL
27/03/2018,10184.15039,10104.2835,10116.5701,225700,-3.9767,SELL
28/03/2018,10113.7002,10142.8337,10108.2602,344400,15.1636,BUY
2/4/2018,10211.79981,10169.8835,10127.6701,225400,-7.1767,SELL
3/4/2018,10245,10190.1667,10177.0602,205300,13.5565,BUY
4/4/2018,10128.40039,10195.0667,10176.6102,231100,-9.7435,SELL
5/4/2018,10325.15039,10232.8503,10204.8102,236800,-15.5397,SELL
6/4/2018,10331.59961,10261.7168,10248.39,200200,-20.1832,SELL
9/4/2018,10379.34961,10345.3665,10281.9,221600,32.0165,BUY
10/4/2018,10402.25,10371.0664,10313.35,251700,-0.0336,SELL
11/4/2018,10417.15039,10399.5833,10371.1,250400,1.7833,BUY
12/4/2018,10458.65039,10426.0169,10397.8,238600,-1.5831,SELL
13/04/2018,10480.59961,10452.1335,10427.6,213100,-5.2665,SELL
16/04/2018,10528.34961,10489.1999,10457.4,195000,2.5099,BUY
17/04/2018,10548.7002,10519.2165,10486.69,206100,10.7165,BUY
18/04/2018,10526.2002,10534.4167,10508.5,205400,4.5868,BUY
19/04/2018,10565.29981,10546.7334,10529.8299,262600,0.2135,BUY
20/04/2018,10564.04981,10551.8499,10546.5199,244600,-5.9401,SELL
23/04/2018,10584.7002,10571.3499,10557.79,194200,0.43,BUY
24/04/2018,10614.34961,10587.6999,10570.9199,219200,7.9101,BUY
25/04/2018,10570.54981,10589.8665,10579.7898,189200,-0.4233,SELL
26/04/2018,10617.79981,10600.8997,10590.2898,335100,-15.0401,SELL
27/04/2018,10692.29981,10626.8831,10615.9398,0,-19.9866,SELL
30/04/2018,10739.34961,10683.1497,10646.8697,173800,15.5399,BUY
2/5/2018,10718.04981,10716.5664,10667.6098,229700,27.1365,BUY
3/5/2018,10679.65039,10712.3499,10689.4299,185200,22.83,BUY
4/5/2018,10618.25,10671.9834,10689.5199,186500,-22.1766,SELL
7/5/2018,10715.5,10671.1335,10694.16,168400,-18.7165,SELL
8/5/2018,10717.79981,10683.8499,10689.85,269800,-10.7302,SELL
9/5/2018,10741.7002,10725,10694.5801,215400,23.04,BUY
10/5/2018,10716.54981,10725.3499,10701.96,192100,-14.2601,SELL
11/5/2018,10806.5,10754.9167,10739.61,203100,-2.9132,SELL
14/05/2018,10806.59961,10776.5498,10757.8299,171400,1.91,BUY
15/05/2018,10801.84961,10804.9831,10774.6398,254300,30.4634,BUY
16/05/2018,10741.09961,10783.1829,10774.5197,231100,15.4331,BUY
17/05/2018,10682.7002,10741.8831,10767.7498,214100,16.1532,BUY
18/05/2018,10596.40039,10673.4001,10725.7299,223000,5.6501,BUY
21/05/2018,10516.7002,10598.6003,10667.75,0,-16.1198,SELL
22/05/2018,10536.7002,10549.9336,10614.7201,241700,-2.6365,SELL
23/05/2018,10430.34961,10494.5833,10552.5701,290900,-24.2167,SELL
24/05/2018,10513.84961,10493.6331,10518.8,297600,-26.9169,SELL
25/05/2018,10605.15039,10516.4499,10520.55,260800,-38.4901,SELL
28/05/2018,10688.65039,10602.5501,10554.94,232600,28.2901,BUY
29/05/2018,10633.29981,10642.3669,10574.26,225800,31.3069,BUY
30/05/2018,10614.34961,10645.4333,10611.06,238700,-10.0868,SELL
31/05/2018,10736.15039,10661.2666,10655.5201,610300,5.7465,BUY
